City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sorong,-0.8833,131.25,26.02,84,100,3.02,ID,1670093210
1,mataura,-46.1927,168.8643,10.27,60,100,3.53,NZ,1670093324
2,geraldton,-28.7667,114.6,20.23,83,100,5.66,AU,1670093325
3,qaanaaq,77.484,-69.3632,-16.56,83,100,3.87,GL,1670093326
4,katsuura,35.1333,140.3,15.14,61,100,9.88,JP,1670093109
5,komsomolskiy,40.4272,71.7189,0.4,86,100,2.06,UZ,1670093327
6,wuda,39.4994,106.7117,-6.93,36,4,0.65,CN,1670093327
7,coihaique,-45.5752,-72.0662,17.34,55,75,3.09,CL,1670093291
8,srbinovo,41.7058,20.9603,6.23,92,100,1.44,MK,1670093328
9,port elizabeth,-33.918,25.5701,18.39,82,20,2.06,ZA,1670093066
10,flin flon,54.7682,-101.865,-22.09,64,75,3.09,CA,1670093329
11,isangel,-19.55,169.2667,27.16,85,100,3.47,VU,1670093330
12,sao jose da coroa grande,-8.8978,-35.1478,27.2,72,83,5.1,BR,1670093330
13,fort-shevchenko,44.5086,50.263,-3.41,55,0,8.46,KZ,1670093331
14,rikitea,-23.1203,-134.9692,23.39,73,7,6.58,PF,1670093331
15,hofn,64.2539,-15.2082,3.62,66,1,6.43,IS,1670093332
16,bandarbeyla,9.4942,50.8122,25.69,70,1,9.11,SO,1670093333
17,alcudia,39.8532,3.1214,11.78,72,7,0.81,ES,1670093333
18,ushuaia,-54.8,-68.3,10.79,61,75,9.26,AR,1670093257
19,ust-tsilma,65.441,52.1498,-20.69,100,76,0.98,RU,1670093334
20,yellowknife,62.456,-114.3525,-20.25,77,100,3.09,CA,1670093141
21,jamestown,42.097,-79.2353,4.2,88,100,9.77,US,1670093335
22,roma,43.2128,-75.4557,11.64,85,100,4.63,US,1670093336
23,port macquarie,-31.4333,152.9167,14.38,82,94,0.66,AU,1670093232
24,arraial do cabo,-22.9661,-42.0278,24.98,78,75,10.29,BR,1670093337
25,chuy,-33.6971,-53.4616,18.93,94,100,2.02,UY,1670093338
26,kedrovyy,56.1667,91.8167,-15.63,96,100,2.44,RU,1670093338
27,faanui,-16.4833,-151.75,26.77,77,81,8.5,PF,1670093215
28,padang,-0.9492,100.3543,24.02,88,100,1.47,ID,1670093339
29,road town,18.4167,-64.6167,29.02,65,40,3.09,VG,1670093077
30,atuona,-9.8,-139.0333,25.61,72,0,8.53,PF,1670093340
31,san jeronimo,-11.9472,-75.2829,19.17,26,34,1.47,PE,1670093341
32,bredasdorp,-34.5322,20.0403,14.45,62,76,1.67,ZA,1670093120
33,povenets,62.8487,34.8262,-5.15,81,100,5.7,RU,1670093342
